latitude,longitude,depth,mag,id,hour,date
34.189835,-117.588,6,1.7,ci12317071,0,1/1/1973
-9.214,150.634,41,5.3,usp0000001,3,1/1/1973
48.308666,-122.11733,13.68,2.2,uw10840118,4,1/1/1973
-15.012,-173.958,33,5,usp0000002,5,1/1/1973
19.443666,-155.36084,7.302,1.85,hv19723167,7,1/1/1973
-22.161,-65.792,205,4.8,usp0000003,9,1/1/1973
48.3025,-122.11933,13.7,2.4,uw10840128,11,1/1/1973
-35.513,-16.211,33,6,usp0000004,11,1/1/1973
47.585667,-123.06467,39.853,1.8,uw10840123,11,1/1/1973
13.743,-45.266,33,4.4,usp0000006,21,1/1/1973
13.897,-44.876,33,4.4,usp0000005,21,1/1/1973
-9.854,117.427,66,5.5,usp0000008,0,1/2/1973
38.221,20.165,33,4.3,usp0000009,1,1/2/1973
33.629333,-117.3475,6.1,2.98,ci3320413,2,1/2/1973
1.035,126.211,61,5.4,usp000000a,2,1/2/1973
5.404,-82.541,30,5.2,usp000000c,3,1/2/1973
18.923,-104.127,33,4.6,usp000000b,3,1/2/1973
48.7455,-122.6385,24.13,2.3,uw10840133,4,1/2/1973
19.314833,-155.25317,7.041,1.93,hv19730002,5,1/2/1973
19.326,-155.20433,6.589,2.21,hv19730003,6,1/2/1973
62.57,-143.678,33,3.7,usp000000d,8,1/2/1973
71.529,-5.754,33,4.5,usp000000f,13,1/2/1973
5.535,127.205,62,4.4,usp000000e,13,1/2/1973
36.085,71.308,137,4.8,usp000000g,16,1/2/1973
46.057835,-119.05283,10.586,0.9,uw10840138,17,1/2/1973
46.741665,-119.4275,2.665,1.1,uw10855513,20,1/2/1973
31.241,88.088,33,5.2,usp000000h,22,1/2/1973
71.33,-7.551,33,4.7,usp000000j,23,1/2/1973
34.815834,-116.3595,6,2.98,ci3320414,0,1/3/1973
-27.716,-63.261,563,5.6,usp000000m,2,1/3/1973
1.548,126.305,33,4.8,usp000000k,2,1/3/1973
31.611,-115.75117,6,3.77,ci3320415,3,1/3/1973
19.430166,-155.281,15.044,1.99,hv19730009,4,1/3/1973
13.466,120.832,139,4.8,usp000000n,4,1/3/1973
19.4095,-155.27733,11.126,1.88,hv19730010,5,1/3/1973
16.809,145.674,177,4,usp000000p,6,1/3/1973
32.603333,-115.264336,6,2.34,ci3320416,6,1/3/1973
19.181833,-155.575,7.752,3.56,hv19730012,6,1/3/1973
19.399834,-155.29016,7.864,1.76,hv19730013,7,1/3/1973
19.4085,-155.27367,13.166,1.94,hv19730016,13,1/3/1973
39.114,71.889,33,5.5,usp000000q,14,1/3/1973
39.119,72.097,33,4.8,usp000000r,15,1/3/1973
19.288834,-156.213,26.523,3.05,hv19730017,16,1/3/1973
39.043,72.572,33,4.7,usp000000s,20,1/3/1973
-3.759,151.679,41,4.9,usp000000u,21,1/3/1973
44.344,-129.154,18,5.3,usp000000t,21,1/3/1973
34.43667,-118.41766,10.11,1.7,ci12317079,22,1/3/1973
34.4395,-118.4145,10.64,1.7,ci12317075,22,1/3/1973
41.305,-29.272,33,4.5,usp000000v,0,1/4/1973
-13.382,167.092,194,5.1,usp000000w,1,1/4/1973
33.999,-117.2145,7.33,1.7,ci12317091,3,1/4/1973
71.585,-6.701,33,4.4,usp000000x,3,1/4/1973
71.109,-7.666,33,5.1,usp000000z,8,1/4/1973
-59.367,-17.889,33,5.4,usp0000010,9,1/4/1973
19.334833,-155.20467,5.699,1.93,hv19730021,11,1/4/1973
14.994,120.158,67,4.5,usp0000012,12,1/4/1973
19.399166,-155.39317,8.05,2.08,hv19730022,12,1/4/1973
71.567,-7.284,33,4.2,usp0000011,12,1/4/1973
20.0475,-155.74266,5.988,2.77,hv19730023,13,1/4/1973
47.661835,-121.838165,23.975,1.6,uw10855523,18,1/4/1973
34.170334,-118.235,11.58,1.7,ci12317095,20,1/4/1973
34.258,-119.529335,3.09,2.66,ci3320417,20,1/4/1973
0.683,-80.018,36,4.7,usp0000014,0,1/5/1973
49.445,-28.236,33,5.4,usp0000015,1,1/5/1973
32.399834,-115.243,0.19,2.82,ci3320418,1,1/5/1973
19.356,-155.4655,7.123,2.05,hv19730025,2,1/5/1973
60.114,-153.022,105,3.7,usp0000016,2,1/5/1973
25.899,-45.001,33,5.1,usp0000017,3,1/5/1973
35.808,21.835,33,5.3,usp0000019,5,1/5/1973
33.475,140.866,56,4.5,usp0000018,5,1/5/1973
19.3585,-155.49283,5.8,2.38,hv19730026,5,1/5/1973
31.6245,-115.79933,6,3.69,ci3320419,6,1/5/1973
19.335167,-155.133,6.464,2.04,hv19730027,8,1/5/1973
5.872,127.313,90,4.8,usp000001b,10,1/5/1973
33.16,140.915,33,3.9,usp000001c,11,1/5/1973
45.555,26.589,131,4.4,usp000001e,12,1/5/1973
-38.997,175.232,150,6.2,usp000001h,13,1/5/1973
11.603,-62.54,101,4.3,usp000001g,13,1/5/1973
48.162,146.823,430,5.1,usp000001f,13,1/5/1973
33.642,-117.96733,6,1.7,ci12317099,14,1/5/1973
-7.046,146.169,137,5.1,usp000001j,15,1/5/1973
19.3205,-155.2375,4.874,1.9,hv19730029,16,1/5/1973
35.601,21.939,30,4.3,usp000001k,19,1/5/1973
-21.318,175.2,620,5.2,usp000001m,21,1/5/1973
32.6905,-116.399,9.86,2.26,ci3320421,0,1/6/1973
31.645166,-115.881,6,3.23,ci3320420,0,1/6/1973
34.491833,-119.152336,6,2.32,ci3320422,1,1/6/1973
-21.755,170.376,82,5,usp000001n,5,1/6/1973
0.705,-79.962,40,3.8,usp000001q,6,1/6/1973
-22.354,-69.31,83,4.9,usp000001p,6,1/6/1973
-31.515,179.518,476,5.2,usp000001r,7,1/6/1973
34.36883,-117.63233,5.95,1.7,ci12317107,8,1/6/1973
12.276,144.59,32,4.7,usp000001s,9,1/6/1973
33.492,140.85,33,4.2,usp000001t,10,1/6/1973
33.273,140.926,46,4.5,usp000001u,11,1/6/1973
-12.733,166.369,54,4.8,usp000001v,12,1/6/1973
62.589,-151.275,93,3.7,usp000001w,13,1/6/1973
33.149,140.708,61,4.7,usp000001x,14,1/6/1973
-14.665,166.384,36,6.1,usp0000022,15,1/6/1973
